Region,Country,Girls in need,Boys in need,Total children in need,Girls targeted,Boys targeted,Total children targeted,Girls reached,Boys reached,Total children reached,Female teacher in need,Male teachers in need,Total teachers in need,Female teachers targeted,Male teachers targeted,Total teachers targeted,Female teachers reached,Male teachers reached,Total teachers reached,Year
#region+name,#country+name,#inneed+f+children,#inneed+m+children,#inneed+children,#targeted+f+children,#targeted+m+children,#targeted+children,#reached+f+children,#reached+m+children,#reached+children,#inneed+f+teachers,#inneed+m+teachers,#inneed+teachers,#targeted+f+teachers,#targeted+m+teachers,#targeted+teachers,#reached+f+teachers,#reached+m+teachers,#reached+teachers,#date+year
South Asia,Afghanistan,,,,,,918739,194019,208124,402143,,,,,,13261,7144,7108,14252,2020
South Asia,Bangladesh,,,,,,421760,199340,199125,398465,,,,,,11000,5008,3770,8778,2020
West and Central Africa,Burkina Faso,,,,,,620600,133801,140128,273929,,,,,,10000,810,1129,1939,2020
West and Central Africa,Central African Republic,,,,,,674200,179592,233436,413028,,,,,,3800,479,1452,1931,2020
West and Central Africa,Chad,,,,,,1205518,370616,597461,968077,,,,,,4482,235,346,581,2020
The Americas and Caribbean,Colombia,,,,,,150000,23705,22375,46080,,,,,,8000,3000,4667,7667,2020
West and Central Africa,Democratic Republic of the Congo,,,,,,1045794,1494262,1355561,2849823,,,,,,8914,1486,2258,3744,2020
Middle East and North Africa,Iraq,,,,,,600500,93609,109858,203467,,,,,,,1608,1972,3580,2020
Middle East and North Africa,Libya,,,,,,83480,48284,47899,96183,,,,,,,73,40,113,2020
West and Central Africa,Mali,,,,,,848628,111041,120294,231335,,,,,,16973,2221,2406,4627,2020
Eastern and Southern Africa,Mozambique,,,,,,382717,467512,474806,942318,,,,,,9712,11856,10602,22458,2020
Southeast Asia and the Pacific,Myanmar,,,,,,203300,37722,38204,75926,,,,,,5401,1018,1219,2237,2020
West and Central Africa,Niger,,,,,,246283,42099,43817,85916,,,,,,,1041,962,2003,2020
West and Central Africa,Nigeria,,,,,,812217,411465,401375,812840,,,,,,13433,726,885,1611,2020
Middle East and North Africa,Occupied Palestinian Territories,,,,,,375254,226845,209395,436240,,,,,,7462,13422,9537,22959,2020
Eastern and Southern Africa,Somalia,,,,,,918000,334364,383636,718000,,,,,,11311,4233,7078,11311,2020
Eastern and Southern Africa,South Sudan,,,,,,793874,138456,189014,327470,,,,,,6126,302,1284,1586,2020
Middle East and North Africa,Sudan,,,,,,750000,658094,641906,1300000,,,,,,,550,892,1442,2020
Middle East and North Africa,Syria,,,,,,4039013,2151035,2194491,4345526,,,,,,134634,30825,31447,62272,2020
Europe and Central Asia,Ukraine,,,,,,207100,25644,26690,52334,,,,,,0,849,94,943,2020
The Americas and Caribbean,Venezuela,,,,,,1521000,285579,274379,559958,,,,,,41000,10108,2371,12479,2020
Middle East and North Africa,Yemen,,,,,,5381507,1236909,1339145,2576054,,,,,,149555,14589,14747,29336,2020
Eastern and Southern Africa,Zimbabwe,,,,,,3461941,136550,51106,187656,,,,,,,3846,1728,5574,2020
Middle East and North Africa,South Sudan,1376067,1432232,2808299,330256,456068,786324,300980,412419,713399,5148,20593,25741,1300,5200,6500,1568,6477,8045,2019
Eastern and Southern Africa,Somalia,771474,1065370,1836844,138629,191439,330068,82842,99007,181849,2813,8438,11251,1250,3750,5000,1794,3302,5096,2019
Middle East and North Africa,Iraq,1241395,1316020,2557415,339500,339500,679000,208452,223811,432263,19500,19500,39000,11680,11680,23360,7164,7164,14328,2019
West and Central Africa,Central African Republic,663000,598000,1261000,295000,295000,590000,186532,217578,404110,9000,9000,18000,2500,2500,5000,920,1900,2820,2019
South Asia,Afghanistan,223714,266286,490000,159509,189864,349373,115015,94311,209326,7500,7500,15000,7500,7500,15000,3821,4484,8305,2019
Middle East and North Africa,Libya,50000,41000,91000,36000,35000,71000,34812,34548,69360,506,594,1100,550,350,900,624,398,1022,2019
Europe and Central Asia,Ukraine,328496,341904,670400,71100,74000,145100,43219,44767,87986,60300,6700,67000,22140,2460,24600,5053,562,5615,2019
Eastern and Southern Africa,Ethiopia,1274000,1326000,2600000,1127000,1173000,2300000,276101,287370,563471,2020,4717,6737,2020,4717,6737,350,1500,1850,2019
West and Central Africa,Nigeria,1171261,986366,2157627,817328,698634,1515962,508672,519714,1028386,19727,23425,43152,2760,3240,6000,2731,2973,5704,2019
Middle East and North Africa,Yemen,2084826,2618179,4703005,2084826,2618179,4703005,1524587,1739830,3264417,56856,71402,128258,56856,71402,128258,28796,32280,61076,2019
Middle East and North Africa,Occupied Palestinian Territories,246803,256877,503680,169419,176334,345753,62549,64444,126993,7944,7633,15577,5453,5240,10693,353,353,706,2019
West and Central Africa,Democratic Republic of the Congo,936000,864000,1800000,416000,384000,800000,313889,289743,603632,,,,,,,5051,10471,15522,2019
South Asia,Myanmar,132790,138210,271000,65114,67771,132885,54733,61726,116459,3600,3600,7200,1322,1376,2698,1670,1799,3469,2019
South Asia,Bangladesh,348200,348200,696400,231230,231230,462460,227577,224922,452499,4144,4144,8288,1848,1847,3695,5441,3474,8915,2019
The Americas and Caribbean,Colombia,950000,900000,1850000,100000,100000,200000,50000,50000,100000,1,1,2,1,1,2,1,1,2,2019
West and Central Africa,Niger,173400,166600,340000,111690,107310,219000,46627,44798,91425,2940,3060,6000,933,896,1829,820,788,1608,2019
West and Central Africa,Mali,212066,229739,441805,168151,182164,350315,112756,122152,234908,4241,4595,8836,3363,3643,7006,2255,2443,4698,2019
Eastern and Southern Africa,Kenya,669960,674626,1344586,282383,282511,564894,113764,112233,225997,100,465,565,65,300,365,92,263,355,2019
West and Central Africa,Cameroon,468813,468813,937626,328000,328000,656000,51181,51180,102361,2590,1727,4317,2590,1727,4317,681,558,1239,2019
West and Central Africa,Chad,583336,631943,1215279,255629,252686,508315,92367,100064,192431,1036,5275,6311,548,4467,5015,83,1659,1742,2019
South Asia,Afghanistan,206737,224263,431000,168258,182742,351000,124600,121400,246000,8835,9584,18419,7500,7500,15000,2934,2134,5068,2018
South Asia,Bangladesh,348200,348200,696400,231230,231230,462460,142616,142321,284937,5547,3549,9096,5056,3232,8288,3537,2245,5782,2018
West and Central Africa,Central African Republic,250000,250000,500000,150000,150000,300000,66275,71798,138073,3333,3333,6666,2000,2000,4000,310,1240,1550,2018
West and Central Africa,Chad,299319,324260,623579,271645,282897,554542,248107,268782,516889,1820,9270,11090,970,4941,5911,32,163,195,2018
The Americas and Caribbean,Colombia,520000,480000,1000000,83200,76800,160000,83200,76800,160000,130000,70000,200000,3250,1750,5000,3250,1750,5000,2018
Eastern and Southern Africa,Ethiopia,1255684,13600324,14856008,1164237,1261257,2425494,642729,964093,1606822,860,1000,1860,420,500,920,500,1500,2000,2018
Middle East and North Africa,Iraq,1584000,1716000,3300000,253547,274675,528222,125822,160405,286227,,,,,,,,,,2018
Eastern and Southern Africa,Kenya,66927,89479,156406,189304,174742,364046,144817,175648,320465,100,465,565,400,1600,2000,,,,2018
Middle East and North Africa,Libya,147000,153000,300000,65391,68060,133451,54761,49559,104320,100000,100000,200000,60,60,120,29,140,169,2018
West and Central Africa,Mali,149940,149940,299880,87037,120193,207230,39448,83827,123275,3060,3060,6120,1658,2487,4145,519,2075,2594,2018
South Asia,Myanmar,88163,91762,179925,46235,46235,92470,37753,41413,79166,1937,1788,3725,1524,1406,2930,946,922,1868,2018
West and Central Africa,Niger,156007,169008,325015,89029,96449,185478,28813,55711,84524,2940,3060,6000,820,788,1608,572,715,1287,2018
West and Central Africa,Nigeria,1484884,1352580,2837464,946000,854000,1800000,393337,331604,724941,10000,15000,25000,16500,14500,31000,7063,10134,17197,2018
Middle East and North Africa,Occupied Palestinian Territories,235000,250000,485000,188000,200000,388000,190000,200000,390000,7000,5000,12000,1,1,2,2820,1995,4815,2018
Eastern and Southern Africa,Somalia,771474,1065370,1836844,166320,229680,396000,95030,111252,206282,2815,8435,11250,2815,8435,11250,1019,3060,4079,2018
Middle East and North Africa,South Sudan,708350,978197,1686547,283340,391279,674619,285540,400588,686128,1093,4372,5465,1093,4372,5465,3119,7062,10181,2018
Middle East and North Africa,Sudan,849230,849230,1698460,330000,330000,660000,196118,188428,384546,950,750,1700,2000,1060,3060,3242,2161,5403,2018
Europe and Central Asia,Ukraine,312620,325380,638000,94080,97920,192000,88008,91161,179169,58500,6500,65000,8820,980,9800,4438,493,4931,2018
Middle East and North Africa,Whole of Syria,3011153,3059720,6070873,1985024,2017041,4002065,1898684,2377505,4276189,156000,144000,300000,29524,27252,56776,53248,20430,73678,2018
Middle East and North Africa,Yemen,2084826,2618179,4703005,2084826,2618179,4703005,990725,1103939,2094664,56856,71402,128258,56856,71402,128258,9719,14334,24053,2018
