"Incident ID",Year,Month,Day,"Country Code",Country,Region,District,City,UN,INGO,ICRC,"NRCS and IFRC",NNGO,Other,"Nationals killed","Nationals wounded","Nationals kidnapped","Total nationals","Internationals killed","Internationals wounded","Internationals kidnapped","Total internationals","Total killed","Total wounded","Total kidnapped","Total affected","Gender Male","Gender Female","Gender Unknown","Means of attack","Attack context",Location,Latitude,Longitude,Motive,"Actor type","Actor name",Details,Verified,Source
2770,2019,8,23,PS,"Occupied Palestinian Territories","Gaza Strip","Khan Younis","Khan Younis",0,0,0,1,1,0,0,2,0,2,0,0,0,0,0,2,0,2,2,0,0,Shooting,Combat/Crossfire,"Public location",31.344444,34.303056,Disputed,"Host state","Israel Defense Forces (IDF)","One male volunteer paramedic for the Palestinian Red Crescent Society and one male volunteer paramedic for a local NGO were both wounded with plastic-coated steel bullets at demonstrations in Khan Younis district of the Gaza Strip. The staff members were struck on the left thigh and neck respectively.",Yes,Media
2805,2019,10,25,PS,"Occupied Palestinian Territories","Gaza Strip",Gaza,"North Gaza",0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,"Bodily assault",Combat/Crossfire,"Public location",31.563704,34.529523,Disputed,"Host state","Israel Defense Forces (IDF)","One male volunteer paramedic with the Palestinian Red Crescent was injured after a reported direct blow of a tear gas canister to his right leg during Friday demonstrations in the North Gaza District.",Yes,Media
3352,2021,6,25,PS,"Occupied Palestinian Territories",,,,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,Shooting,Ambush,Road,32,35.25,Political,"Host state","Israel Defense Forces (IDF)","One Red Crescent paramedic was injured by the glass from a broken windshield after Israel Defense Forces shot at the clearly marked ambulance in the Occupied Palestinian Territories.",Yes,Media
3469,2021,10,26,PS,"Occupied Palestinian Territories","West Bank",Nablus,Burin,0,0,2,0,0,0,0,2,0,2,0,0,0,0,0,2,0,2,0,0,2,"Bodily assault","Individual attack","Public location",32.184167,35.249722,Political,Unaffiliated,"Israeli Settlers","Two ICRC staff were reportedly peppered sprayed by Israeli settlers in Burin, Nablus, during a joint field visit with Palestinian farmers and IDF officials. The staff received medical attention at the military base.
",Yes,"Official Report"
3669,2022,10,2,PS,"Occupied Palestinian Territories","West Bank",Nablus,Nablus,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,"Bodily assault",Ambush,Road,32.222222,35.261111,Unknown,"Host state","Israel Defense Forces (IDF)","One Palestinian Red Crescent health worker in a marked ambulance was injured after being hit with a rifle by the Israel Defense Forces (IDF) in Beit Farouk locality, South of Nablus (Nablus governorate). Another health worker was also injured (injury extent unknown).",Yes,"Official Report"
3726,2023,2,22,PS,"Occupied Palestinian Territories","West Bank",Nablus,Nablus,0,0,0,2,0,0,0,2,0,2,0,0,0,0,0,2,0,2,0,0,2,Shooting,"Individual attack","Public location",32.216063,35.264351,Disputed,"Host state","Israel Defense Forces (IDF)","Two Palestinian Red Crescent Society members were injured by rubber-coated bullets when reaching a 2-year-old child suffering from a heart condition who had been exposed to teargas. The team was prevented from reaching the child's house by Israeli defence forces, and were not able to leave the place for 40 minutes after taking care of the patient.",Pending,Media
3779,2023,4,5,PS,"Occupied Palestinian Territories",Jerusalem,"East Jerusalem","Bab-Al Asbat",0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,"Bodily assault",Raid,"Public location",31.77617,35.23583,Disputed,"Host state","Israel Defense Forces (IDF)","One national Palestinian Red Crescent Society aid worker was injured when the Israeli Defence Forces (IDF) attacked his ambulance and an Emergency Medical Technician (EMT) stationed at the Bab Al-Asbat area, near Al-Aqsa Mosque. In addition, the Israel Defence Forces (IDF) shot a sound bomb at the ambulance, breaking the mirror on the driver's side.",Pending,Media
3889,2023,7,24,PS,"Occupied Palestinian Territories","West Bank",Nablus,"Askar camp",0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,Shooting,"Individual attack","Project site",32.219864,35.297436,Disputed,"Host state","Israel Defense Forces (IDF)","One Palestinian Red Crescent Society medical staff was allegedly shot in the two feet by the Israel Defence Forces while on duty in Askar Camp.",Pending,"Official Report"
3933,2023,10,7,PS,"Occupied Palestinian Territories","Gaza Strip","South Gaza","Khan Younis",0,2,0,0,0,0,2,0,0,2,0,0,0,0,2,0,0,2,1,1,0,Shelling,Combat/Crossfire,"Project site",31.3625352,34.5699731,Disputed,"Host state","Israel Defence Forces (IDF)","One female health worker and one male ambulance driver of INGO-supported medical facilities were killed in shelling from the Israel Defense Forces in Khan Younis, Gaza. Other people were injured in the same attack (not counted here).",Pending,"Official Report"
3938,2023,10,11,PS,"Occupied Palestinian Territories","Gaza Strip","Gaza Strip",Gaza,0,0,0,4,0,0,4,0,0,4,0,0,0,0,4,0,0,4,0,0,4,"Aerial bombardment",Combat/Crossfire,Road,31.5119669,34.4438821,Disputed,"Host state","Israel Defense Forces (IDF)","Four Palestinian Red Crescent Society paramedics were killed when the ambulance they were in was hit by an aerial attack in the Gaza Strip.",Pending,"Official Report"
3939,2023,10,11,PS,"Occupied Palestinian Territories","Gaza Strip",Gaza,"Karni Crossing",0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,Shooting,"Individual attack",Road,31.474722,34.473611,Disputed,"Host state","Israel Defense Forces (IDF)","One Palestinian Red Crescent paramedic was shot in the back and killed at the Karni crossing in eastern Gaza.",Pending,"Official Report"
3944,2023,10,19,PS,"Occupied Palestinian Territories","Gaza Strip","Gaza Strip","Church of Saint Porphyrius",0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,"Aerial bombardment",Combat/Crossfire,"Public location",31.5033228,34.459722,Disputed,"Host state",Defense,"One female national NGO aid worker was killed during an aerial bombardment affecting the Church of Saint Porphyrius in Gaza.",Pending,Media
3953,2023,10,28,PS,"Occupied Palestinian Territories","Gaza Strip","Khan Younis","Khan Younis",1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,Shelling,Combat/Crossfire,Unknown,31.344444,34.303056,Incidental,"Host state","Israel Defense Forces (IDF)","One male head of UN aid agency was injured due to shelling from the Israel Defense Forces (IDF) in Khan Younis, Gaza Strip.",Pending,"Official Report"
3937,2023,10,31,PS,"Occupied Palestinian Territories","Gaza Strip","Gaza Strip",Gaza,92,0,0,0,0,0,70,22,0,92,0,0,0,0,70,22,0,92,0,0,92,"Aerial bombardment",Combat/Crossfire,Unknown,31.410433,34.2235374,Disputed,"Host state","Israel Defense Forces (IDF)","70 UN aid workers have been killed and 22 have been injured during the clashes between the Israel Defense Forces (IDF) and Hamas in the Gaza Strip between October 7 and October 31, 2023. Reports indicate most fatalities are due to aerial attacks. Exact dates and locations of those killed and the extent of the injuries are unknown at this time.",Pending,"Official Report"
3954,2023,11,3,PS,"Occupied Palestinian Territories","Gaza Strip",Gaza,"Al-Shifa Hospital",0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,"Aerial bombardment",Combat/Crossfire,"Project site",31.5243369,33.8330841,Political,"Host state","Israel Defense Forces (IDF)","One Palestinian Red Crescent Society aid worker was injured when the ambulance was targeted by an Israel Defense Forces (IDF) strike at the entrance of Al-Shifa hospital, Gaza Strip. The ambulance was the second one targeted during the same attack. Other civilians were also injured (not counted).",Pending,"Official Report"
3979,2023,11,5,PS,"Occupied Palestinian Territories","Gaza Strip",Gaza,Gaza,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,"Aerial bombardment",Combat/Crossfire,"Public location",31.516667,34.45,Incidental,"Host state","Israel Defense Forces (IDF)","One national, international organisation aid worker was killed along with his family during an airstrike in Gaza.",Pending,Media
4034,2023,11,5,PS,"Occupied Palestinian Territories","Gaza Strip",Gaza,Gaza,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,Shelling,Combat/Crossfire,Home,31.516667,34.45,Disputed,"Host state","Israel Defense Forces (IDF)","One national INGO aid worker was killed along with his family in his house during an airstrike in Gaza City.",Yes,"Focal Point"
3955,2023,11,7,PS,"Occupied Palestinian Territories","Gaza strip",Gaza,,0,0,0,19,0,0,0,19,0,19,0,0,0,0,0,19,0,19,0,0,19,Shelling,Unknown,Unknown,31.514722,34.454167,Unknown,"Host state","Israeli Defence Forces (IDF)","19 Palestinian Red Crescent Society aid workers have been injured on duty between the 7th of October and the 7th of November in the Gaza Strip. Eight emergency vehicles had been put out of service due to the damage caused by airstrikes.
",Pending,Media
3968,2023,11,12,PS,"Occupied Palestinian Territories","Gaza Strip",Gaza,"Jabalia refugee camp",0,2,0,0,0,0,2,0,0,2,0,0,0,0,2,0,0,2,2,0,0,"Aerial bombardment",Combat/Crossfire,Home,31.533522,34.483676,Incidental,"Host state","Israel Defense Forces (IDF)","Two national INGO aid workers were killed due to a missile strike of the Jabalia refugee camp in the Gaza Strip.",Pending,"Official Report"
4070,2023,11,18,PS,"Occupied Palestinian Territories","Gaza Strip",Gaza,"Al Wahida",0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,Shooting,Unknown,Road,31.4326616,34.4059053,Disputed,"Host state","Israel Defense Forces (IDF)","One male national INGO aid worker was killed during a shooting to a convoy of marked vehicles with authorization to evacuate in Al Wahida, Gaza. Another civilian was also killed during the incident (not counted).",Pending,"Official Report"
3963,2023,11,21,PS,"Occupied Palestinian Territories","Gaza Strip",Gaza,"Al Awda Hospital",0,2,0,0,0,0,2,0,0,2,0,0,0,0,2,0,0,2,2,0,0,Shelling,Combat/Crossfire,"Project site",31.4524079,34.3863319,Disputed,"Host state","Israel Defense Forces (IDF)","Two male INGO doctors were killed due to a strike in the Al-Awda hospital in Gaza.",Pending,"Official Report"
3969,2023,11,21,PS,"Occupied Palestinian Territories","Gaza Strip",Gaza,"Southern Gaza",1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,Shelling,Combat/Crossfire,"Public location",31.297864,34.271754,Incidental,"Host state","Israel Defense Forces (IDF)","One female UN aid worker was killed along with her family during a shelling in Southern Gaza.",Pending,"Official Report"
3958,2023,11,24,PS,"Occupied Palestinian Territories","Gaza Strip",Gaza,"North Gaza",0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,"Aerial bombardment",Combat/Crossfire,Home,31.55,34.5,Incidental,"Host state","Isreali Defence Forces (IDF)","One off-duty male ICRC driver was killed in Northern Gaza along with other members of his family (not counted here).",Yes,"Official Report"
4047,2023,11,30,PS,"Occupied Palestinian Territories","Gaza Strip","Gaza Strip",Gaza,46,0,0,0,0,0,41,5,0,46,0,0,0,0,41,5,0,46,0,0,46,"Aerial bombardment",Combat/Crossfire,Unknown,31.410433,34.2235374,Disputed,"Host state","Israeli Defence Forces (IDF)","41 UN aid workers have been killed and 5 have been injured during the clashes between the Israeli Defence Forces (IDF) and Hamas in the Gaza Strip between November 1 and November 30, 2023. Reports indicate most fatalities are due to aerial attacks. Exact dates and locations of those killed and the extent of the injuries are unknown at this time.",Pending,"Official Report"
4071,2023,12,1,PS,"Occupied Palestinian Territories","Gaza Strip",Gaza,"Khan Younis",0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,Unknown,Unknown,Home,31.3461996,34.2936774,Incidental,"Host state","Israel Defense Forces (IDF)","One female national INGO aid worker was killed along with her family in Khan Younis at some point in December 2023.",Pending,"Official Report"
3975,2023,12,11,PS,"Occupied Palestinian Territories","Gaza Strip",Gaza,"Al-Awda hospital",0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,Shooting,Combat/Crossfire,"Project site",31.4524078,34.3840412,Disputed,"Host state","Israel Defense Forces (IDF)","One INGO health worker was injured by a shot fired from outside in Al-Awda Hospital, in Gaza.",Pending,"Official Report"
3976,2023,12,12,PS,"Occupied Palestinian Territories","Gaza Strip",Gaza,Gaza,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,"Aerial bombardment",Combat/Crossfire,Unknown,31.487254,34.4240813,Incidental,"Host state","Israel Defense Forces (IDF)","One male INGO aid worker was killed along with his family by an airstrike in Gaza.",Yes,"Official Report"
3986,2023,12,22,PS,"Occupied Palestinian Territories","Gaza Strip",Gaza,Gaza,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,"Aerial bombardment",Combat/Crossfire,Unknown,31.5016942,34.4565447,Incidental,"Host state","Israel Defense Forces (IDF)","One UN national aid worker was killed with his family during an aerial bombardment in Gaza City.",Yes,"Official Report"
4048,2023,12,31,PS,"Occupied Palestinian Territories","Gaza Strip","Gaza Strip",Gaza,31,0,0,0,0,0,31,0,0,31,0,0,0,0,31,0,0,31,0,0,31,"Aerial bombardment",Combat/Crossfire,Unknown,31.410433,34.2235374,Disputed,"Host state","Israel Defense Forces (IDF)","31 UN aid workers have been killed during the clashes between the Israel Defense Forces (IDF) and Hamas in the Gaza Strip between December 1 and December 31, 2023. Reports indicate most fatalities are due to aerial attacks. Exact dates and locations of those killed and the extent of the injuries are unknown at this time.",Pending,"Official Report"
3994,2024,1,10,PS,"Occupied Palestinian Territories","Gaza Strip",Gaza,Gaza,0,0,0,4,0,0,4,0,0,4,0,0,0,0,4,0,0,4,4,0,0,Shelling,Combat/Crossfire,Road,31.516667,34.45,Disputed,"Host state","Israel Defense Forces (IDF)","Four national Palestinian Red Crescent Society aid workers were killed when their ambulance was hit by a shell in Gaza. Two other injured civilians were also killed (not counted).",Pending,"Official Report"
4027,2024,1,31,PS,"Occupied Palestinian Territories","Gaza Strip","Khan Younis","Al-Amal Hospital",0,0,0,2,0,0,2,0,0,2,0,0,0,0,2,0,0,2,2,0,0,Shooting,"Individual attack","Project site",31.347336,34.297132,Disputed,"Host state","Israel Defense Forces (IDF)","Two male national aid workers of the Palestinian Red Crescent Society were shot and killed close to Al Amal Hospital in Khan Younis.",Pending,"Official Report"
4033,2024,1,31,PS,"Occupied Palestinian Territories","Gaza Strip",Gaza,Gaza,11,0,0,0,0,0,10,1,0,11,0,0,0,0,10,1,0,11,0,0,11,"Aerial bombardment",Combat/Crossfire,"Public location",31.410433,34.2235374,Disputed,"Host state","Israel Defense Forces (IDF)","10 UN aid workers have been killed and 1 UN aid worker has been injured during the clashes between the Israeli Defence Forces (IDF) and Hamas in the Gaza Strip between the 1 and the 31 of January, 2024. Reports indicate most fatalities are due to aerial attacks. Exact dates and locations of those killed and the extent of the injuries are unknown at this time.",Pending,"Official Report"
4030,2024,2,2,PS,"Occupied Palestinian Territories","Gaza Strip","Khan Younis","Khan Younis",0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,Shooting,"Individual attack","Project site",31.343889,34.3025,Disputed,"Host state","Israel Defense Forces (IDF)","One female Palestinian Red Crescent Society aid worker was shot and killed by a sniper in Khan Younis.",Pending,"Official Report"
4031,2024,2,7,PS,"Occupied Palestinian Territories","Gaza Strip",Gaza,Gaza,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,Shooting,"Individual attack","Public location",31.348249,34.298072,Disputed,"Host state","Israel Defense Forces (IDF)","One male Palestinian Red Crescent Society aid worker was shot and killed while evacuating wounded people in Gaza.",Pending,"Official Report"
4032,2024,2,10,PS,"Occupied Palestinian Territories","Gaza Strip",Gaza,Gaza,0,0,0,2,0,0,2,0,0,2,0,0,0,0,2,0,0,2,2,0,0,Shelling,Combat/Crossfire,Road,31.504215,34.434714,Disputed,"Host state","Israel Defense Forces (IDF)","Two national Palestinian Red Crescent Society aid workers were killed when the ambulance they were in was hit in Gaza.",Pending,"Official Report"
4046,2024,2,29,PS,"Occupied Palestinian Territories","Gaza Strip",Gaza,Gaza,8,0,0,0,0,0,8,0,0,8,0,0,0,0,8,0,0,8,0,0,8,"Aerial bombardment",Combat/Crossfire,"Public location",31.410433,34.2235374,Disputed,"Host state","Israel Defense Forces (IDF)","8 UN aid workers have been killed during the clashes between the Israel Defence Forces (IDF) and Hamas in the Gaza Strip between the 1st and the 29th of February, 2024. Reports indicate most fatalities are due to aerial attacks. Exact dates and locations of those killed and the extent of the injuries are unknown at this time.",Pending,"Official Report"
4078,2024,3,3,PS,"Occupied Palestinian Territories","Gaza Strip",Gaza,"Khirbat al â€˜Adas",0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,"Aerial bombardment",Combat/Crossfire,Home,31.285174,34.271157,Incidental,"Host state","Israel Defense Forces (IDF)","One male national INGO aid worker was killed along with his family during an aerial strike in Khirbat al 'Adas, Gaza.",Pending,"Official Report"
4084,2024,3,14,PS,"Occupied Palestinian Territories","Gaza Strip",Gaza,"Rafah East Distribution Centre",23,0,0,0,0,0,1,22,0,23,0,0,0,0,1,22,0,23,0,0,23,"Aerial bombardment",Combat/Crossfire,Office/compound,31.298370,34.241829,Disputed,"Host state","Israel Defense Forces (IDF)","One UN aid worker was killed, and 22 UN aid workers were injured during a drone attack on a UN distribution centre in Rafah, Gaza.",Pending,"Official Report"
4072,2024,3,14,PS,"Occupied Palestinian Territories","Gaza Strip",Gaza,Gaza,5,0,0,0,0,0,5,0,0,5,0,0,0,0,5,0,0,5,0,0,5,"Aerial bombardment",Combat/Crossfire,"Public location",31.410433,34.2235374,Disputed,"Host state","Israel Defense Forces (IDF)","5 UN aid workers have been killed during the clashes between the Israel Defence Forces (IDF) and Hamas in the Gaza Strip between the 1st and the 14th of March, 2024. Reports indicate most fatalities are due to aerial attacks. Exact dates and locations of those killed and the extent of the injuries are unknown at this time.",Pending,"Official Report"
4088,2024,3,24,PS,"Occupied Palestinian Territories","Gaza Strip","Khan Younis","Khan Younis",0,0,0,2,0,0,2,0,0,2,0,0,0,0,2,0,0,2,2,0,0,Unknown,Raid,"Project site",31.344444,34.303056,Disputed,"Host state","Israel Defense Forces (IDF)","Two male staff members of the Palestinian Red Crescent were killed during the evacuation of the Al Amal Hospital in Khan Yunis.",Pending,"Official Report"
4087,2024,3,29,PS,"Occupied Palestinian Territories","Gaza Strip",,,0,0,0,11,0,0,11,0,0,11,0,0,0,0,11,0,0,11,0,0,11,Unknown,Combat/Crossfire,Unknown,31.514722,34.454167,Incidental,"Host state","Israel Defense Forces (IDF)","According to the Palestinian Red Crescent, 11 off-duty staff members have been killed in the Gaza Strip from collateral violence since October 7, 2023. Further details on the individual incidents is not available at this time.",Pending,"Official Report"
4086,2024,4,1,PS,"Occupied Palestinian Territories","Gaza Strip","Central Gaza",,0,8,0,0,0,0,1,1,0,2,6,0,0,6,7,1,0,8,0,0,8,"Aerial bombardment",Combat/Crossfire,Road,31.435639,34.386136,Incidental,"Host state","Israel Defense Forces (IDF)","7 INGO staff members, including 1 national and 6 international staff, were killed in an Israel Defense Force strike in Central Gaza, as their aid convoy left a warehouse. One additional national INGO staff was injured. According to official statements, the vehicles were all clearly marked and information on their movements had been shared with parties to the conflict. Israel has taken responsibility for the attack, calling it ""unintentional."" The INGO has suspended all operations in the area.",Pending,"Official Report"
4089,2024,4,1,PS,"Occupied Palestinian Territories","Gaza Strip",Gaza,"Deir al-Balah",0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,"Aerial bombardment",Combat/Crossfire,Home,31.418889,34.351667,Incidental,"Host state","Israel Defense Forces (IDF)","One INGO staff member was seriously injured after an airstrike hit his home in Central Gaza, Deir al-Balah.",Pending,Media
